Authors,Link,Title,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,min,mode,overall,agreement,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Abstract
Zhang M.; Xiao G.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165010846&doi=10.3991%2fijet.v18i13.39919&partnerID=40&md5=498b053629d2c0912739fad065328010,A Bibliometric Analysis of Online Learning Emotions from 2006 to 2023,,0,0,,,0,0,0,1,2023,International Journal of Emerging Technologies in Learning,18,13,,220,233,13,10.3991/ijet.v18i13.39919,"Despite a growing body of research on online learning emotions, few studies have been committed to systematic reviews of the scientific publications in this area using bibliometric methods. Assisted by CiteSpace software, the present study aims to dissect the scientific production of this subject from 2006 to 2023 based on the database of WOS, revealing development trends and hotspots. The following findings are obtained from the bibliometric analysis. Firstly, the number of articles published has increased exponentially from only one in 2006 to 209 in 2022, demonstrating upside potential. Secondly, the United States, China and England are the most contributing countries, while Kruk, Pawlak, Kim and Artino are the most prolific authors and Cao (2020), Loderer (2020), Pekrun (2017), Li (2018), Jiang (2019), Dewaele (2018) are recognized as the most-cited articles. Lastly, studies concerning the COVID-19 pandemic and foreign language enjoyment have taken the academic high ground in the area of online learning emotions in recent years, and the research focus has shifted from negative emotions to positive ones. The findings may have implications for educators and practitioners in online learning and teaching in the future. © 2023 by the authors of this article. Published under CC-BY."
Singh R.; Aggarwal S.; Sahni S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135467772&doi=10.1177%2f23197145221115530&partnerID=40&md5=477eddb6001b24a298f599d70063b803,A Systematic Literature Review of Work-Life Balance Using ADO Model,,,0,0,,0,0,0,1,2023,FIIB Business Review,12,3,,243,258,15,10.1177/23197145221115530,"This study systematically synthesizes the existing literature on work-life balance (WLB) over the last 16 years to determine the various constructs associated with it using the Antecedents, Decisions and Outcomes (ADO) model for the WLB construct. It also identifies research gaps and proposes a direction for future research. A rigorous systematic literature review (SLR) process as proposed by Tranfield et al. (2003) is followed. Further, the study uses the PRISMA framework to select the 43 full-text articles relevant to the WLB in business management. The review was conducted for the studies from 2004 to 2020, used only published articles, and excluded books and conference proceedings. This review provides an organized view of the antecedents, decision processes and outcomes of WLB in the business management domain. The analysis provides information on the most prolific authors and journals. This review also found that the most productive institutions publishing WLB-related literature are based in India. This review contributes to the literature by proposing a conceptual model that provides a theoretical understanding of WLB. It also provides essential insights into how personal, household and organizational factors influence WLB. © 2022 Fortune Institute of International Business."
Khandelwal U.; Sharma A.; Panicker A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164032397&doi=10.1007%2f978-981-19-7709-1_58&partnerID=40&md5=05247a56483b90b6450a866b79f583c6,A Study on Green Manufacturing Research from 2010 to 2020: A Bibliometric Research,0,,,0,,0,0,0,1,2023,Lecture Notes in Mechanical Engineering,,,,577,585,8,10.1007/978-981-19-7709-1_58,"Shifting trend of consumer, businesses and government compliances toward environment-friendly products and processes are now shifting the industries toward sustainable manufacturing process better known as “green manufacturing” (GM). Green manufacturing can be elucidated as the utilization of high-efficient materials in manufacturing that reduces harmful environmental impact. It confines critical manufacturing concerns such as complying with environmental laws and regulations, natural resource conservation, controlling toxic substance and the management of waste. This trend has led to increasing interest of researchers in green manufacturing. In order to facilitate those researchers, this research presents the bibliometric analysis of the research on green manufacturing from the year 2010–2020. The Scopus database was used to determine year-wise publications, most cited papers, most prolific authors, countries and institutions. Result of bibliometric analysis shows that research interest is continuously increasing as number of publication is increasing after 2015 continuously. This analysis provides a direction to those who are entering the field of green manufacturing research, providing information on which journals to consult, which authors, institutions and countries are most eminent, and keywords which was frequently used in the green manufacturing researches. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd."
Safdar R.; Nawaz M.; Mushtaq A.; Khanh Tran T.; Aziz Omar A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152632691&doi=10.1016%2fj.molliq.2023.121778&partnerID=40&md5=f20535e04718cb9a0ffe2ea1bf9f6928,A bibliometric analysis for estimating the global research trends related to applications of ionic liquids in drug delivery,0,,,,0,0,#N/A,0,1,2023,Journal of Molecular Liquids,381,,121778,,,,10.1016/j.molliq.2023.121778,"Many scientists are interested in ionic liquids (ILs) as they are efficient solvents, especially for drug delivery systems. A bibliometric analysis was performed in this article to assess the applicability of ILs in drug delivery. 519 publications from the Web of Science (WoS) database were analysed using VOSviewer and MS Excel. An analysis was conducted to identify publication trends, well-known authors, institutions, countries, sources, and the most cited articles in this field. This research comprised 1984 authors from 574 institutions and 52 countries. Regarding the total number of publications produced, Masahiro Goto, Muhammad Moniruzzaman, and Rie Wakabayashi were the most prolific authors. Based on the number of publications, the top three institutions were Kyushu University, Universiti Teknologi PETRONAS, and Shandong University. For the period from 2007 and 2021, the most productive countries were China, India, and the United States. In both the number of publications produced and the number of citations received, the Journal of Molecular Liquids has maintained its dominant position. This study demonstrated the continued use of ILs in drug delivery applications, indicating that more investigation might aid in advancing drug delivery systems. © 2023 Elsevier B.V."
Obreja D.M.; Rughiniș R.; Rosner D.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183838148&doi=10.1016%2fj.jik.2024.100465&partnerID=40&md5=0dd0cc9c2783ecc8ebec3355992dde17,Mapping the conceptual structure of innovation in artificial intelligence research: A bibliometric analysis and systematic literature review,,0,0,,,0,0,0,1,2024,Journal of Innovation and Knowledge,9,1,100465,,,,10.1016/j.jik.2024.100465,"This study uses bibliometric analysis and a systematic literature review to map the conceptual structure of artificial intelligence innovations (AI-I) in the social sciences between 2000 and 2023. It explicitly focuses on non-economic aspects conducive to AI-I, namely social, technological, cultural, sustainable, personal, moral, and ethical. Our analysis reveals that 1225 articles and proceeding papers have been published, and terms such as “technology,” “big data,” “management,” “performance,” “future,” and “impact” are the most frequently used when discussing innovation and AI. According to our time-zone analysis, the last two years have shown a significant emphasis on concepts such as “transformation,” “corporate social responsibility,” and “resource-based view.” In terms of citations, the countries that receive the highest number of references in the AI-I field are the United Kingdom, the United States, Germany, Australia, and China. The most prolific authors in terms of publications are David Teece, Erik Brynjolfsson, and Anjan Chatterjee. Given that most studies highlight the economic side of AI-I, we selected the most prolific 163 articles from all social science research areas. These studies legitimize the main non-economic aspects that highlight both certainties and uncertainties conducive to such innovations. Although the technological component is the most popular in our analysis of the non-economic aspects of the AI-I subfield, we find an important emphasis on ethical/moral dimensions conducive to slow innovation principles. We also observe a growing interest in the cultural dimension, specifically exploring potential factors that can lead to better human acceptance of these innovations. © 2024"
Ashiq M.; Adil H.M.; Batool S.H.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171276824&doi=10.1353%2fpla.2023.a901569&partnerID=40&md5=53be1fee0945f309e015ea8397af9bad,Information Literacy Research in Asia: A Bibliometric Analysis,,,0,0,,0,0,0,1,2023,Portal,23,3,,593,619,26,10.1353/pla.2023.a901569,"This bibliometric study looked at the information literacy (IL) literature published by Asian authors, focusing on publishing and citation trends, prolific authors, institutions, countries, collaboration patterns, the thematic evolution of keywords, and factor analysis of keywords, journals, and countries. From the Scopus database, the study’s authors extracted bibliographic data on IL from Asian countries. The findings revealed that 20 of 48 countries in Asia produced no publications on the topic. The last few years, however, have seen remarkable growth in Asian IL literature. The study traces IL in Asia from its emergence in the 1990s through its growth and development. The most prolific authors, countries, institutions, journals, authorship patterns, and collaboration trends are also identified. This is the first bibliometric study examining IL literature published in Asian countries. © 2023, by Johns Hopkins University Press."
Fang X.; Liu H.; Wang M.; Wang G.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168953557&doi=10.2147%2fJPR.S418602&partnerID=40&md5=cb35bbb81d1162b8bcc4e7fcde23a042,Scientific Knowledge Graph of Dysmenorrhea: A Bibliometric Analysis from 2001 to 2021,0,,,0,,0,0,0,1,2023,Journal of Pain Research,16,,,2883,2897,14,10.2147/JPR.S418602,"Purpose: This study aims to help researchers master the most active hotspots and trends quickly through bibliometric analysis in the field of dysmenorrhea. Methods: We retrieved literature on Web of Science from 2001 to 2021, and bibliometric analysis software CiteSpace was used in combination with VOSviewer. Results: We finally acquired 944 papers and an upward trend in articles continued in this field overall. Through the map, China contributed the most, followed by the USA and Turkey. For institutions, Beijing University of Chinese Medicine in China contributed the most, followed by National Yang-Ming University in Taiwan, China. Hsieh JC and Hellman KM were both the most prolific authors with 14 articles. Five major research groups, respectively, with Hsieh JC, Hellman KM, Zhu J, Liang F and Dun W were the key group. Dawood MY was the most dominant author and most frequently cited author. The Cochrane Database of Systematic Reviews Journal was the most productive, and the Fertility and Sterility Journal was the most cited. Advances in pathogenesis and management for primary dysmenorrhea written by Dawood MY was most cited and influential. Pathophysiology, the potential central mechanism, syndrome, evaluation index, diagnosis of adenomyosis-associated dysmenorrhea, treatment, etc., were the main trends and hotspots. Conclusion: Dysmenorrhea research has received a lot of attention from scholars. Strengthening international cooperation may promote the development of this field. The pathophysiology of dysmenorrhea, its impact on public health and its treatment are current research hotspots and are likely to be the focus of future study. © 2023 Fang et al."
Trivedi D.; Majumder N.; Bhatt A.; Pandya M.; Chaudhari S.P.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121751296&doi=10.1108%2fGKMC-08-2021-0131&partnerID=40&md5=0406fafb0cdc118243a81d74de220d7c,Global research mapping on reproductive health: a bibliometric visualisation analysis,,0,0,,,0,0,0,1,2023,"Global Knowledge, Memory and Communication",72,3,,268,283,15,10.1108/GKMC-08-2021-0131,"Purpose: This study aims to examine the research productivity and network visualisation on reproductive health (RH) domain with several bibliometric indicators and applied visualisation approach in co-authorship, citation, co-occurrence of keywords and bibliographic coupling analysis in the area of RH. Design/methodology/approach: This study used bibliometric indicators to determine the highly productive authors, source title, documents and organisations. This study used Web of Science database and retrieved a total of 18,186 scientific publications on the domain of RH published during the period of 2010–2020. Data analysis was also performed using VOS viewer software and RStudio. Findings: The findings discovered the increasing trends of research publications in reproductive health in past ten years. The USA UK, China and Australia were the top four productive countries in terms of publishing research in the arena, and “Kishsin DM” and “Hauser R” have secured in top two positions under highly prolific authors category. University of California, Harvard University and University of London were observed under the top three productive institutions in the domain. This study also revealed association and collaboration among authors, country and institutions in the visualisation analysis. The core findings of co-occurrence of keywords emphasised that “RH,” “assisted reproductive technology,” “women,” “pregnancy” and “in-vitro fertilization” were established frequently used keywords and have robust link strength. Practical implications: The findings will be helpful to the researchers to know about the status of latest trends and development of the domain. This study is also helpful to the library authority for collection development in the specific subject domain. Originality/value: To the best of the authors’ knowledge, there was no past study found on the evaluation of research productivity and network visualisation in the domain of RH, which is a globally important issue. © 2021, Emerald Publishing Limited."
Younan K.Z.; Krueger G.F.; Zimmer R.; Hernández P.A.G.; Fontanella V.R.C.; Miguens-Jr S.A.Q.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184159411&doi=10.5624%2fISD.20230106&partnerID=40&md5=89d0a195969157332e850b0f980682a8,Bibliometric analysis and diagnostic efficacy of cone-beam computed tomography studies published in Imaging Science in Dentistry from 2011 to 2022,,,0,0,,0,0,0,1,2023,Imaging Science in Dentistry,53,4,,335,344,9,10.5624/ISD.20230106,"Purpose: This bibliometric analysis aimed to provide a comprehensive overview of the characteristics, trends, and level of diagnostic efficacy of studies on cone-beam computed tomography (CBCT) published in Imaging Science in Dentistry (ISD) from 2011 to 2022. Materials and Methods: Publications related to CBCT identified in the electronic collection of ISD were selected according to eligibility criteria by 2 independent reviewers who collected data on the characteristics of the articles (year, authors, and country). The type and topic of studies were analyzed using VOSviewer v.1.6.18 (Centre for Science and Technology Studies, Leiden University, Leiden, Netherlands). The research articles were classified according to the hierarchical scale of diagnostic efficacy. Results: Of the 236 articles included, most were from South Korea and Brazil. Bong-Hae Cho and Yun-Hoa Jung were the most prolific authors on the topic of CBCT. The most frequently published types of studies were cross-sectional and laboratory-based. The most popular topics WERE related to the diagnosis of pathologies and/or alterations, as well as anatomical variations. On the diagnostic efficacy scale, most studies were rated level 1 (technical efficacy) or 2(diagnostic accuracy efficacy). Conclusion: A steady increase was observed in publications related to CBCT, which are of both clinical and academic interest. The trends in these publications were analyzed, revealing that most are cross-sectional studies primarily exploring the capabilities of CBCT in diagnosing pathologies and/or changes in the oral and maxillofacial complex. These studies were typically classified as level 1 or 2 on the diagnostic efficacy scale. © 2023 by Korean Academy of Oral and Maxillofacial Radiology. All Rights Reserved."
Rico-Peña J.J.; Arguedas-Sanz R.; López-Martin C.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148015878&doi=10.1016%2fj.technovation.2023.102711&partnerID=40&md5=f77ff4eab81d1ed82c66ec67cfa068d7,Models used to characterise blockchain features. A systematic literature review and bibliometric analysis,0,,,0,,0,0,0,1,2023,Technovation,123,,102711,,,,10.1016/j.technovation.2023.102711,"Blockchain has emerged as an innovative technology with potential to transform business management, through operational efficiency improvements. Nevertheless, several performance and vulnerability issues have been identified for the different typologies supporting the wide range of blockchain-based applications currently implemented in different domains. A variety of analytical and empirical models are being used to evaluate the issues associated with the different blockchain typologies, enabling systematic analyses of the corresponding efficiency impact, and technical or economic threats. A thorough systematic literature review of these models has been performed, followed by a detailed assessment on the way these models have been employed, and the target parameters and applications evaluated (336 research selected and analysed). We propose a co-classification of these models, allowing us to identify which ones are employed to a greater extent to address the different blockchain issues in scientific research. In a second step, a bibliometric analysis on the selected research is conducted, offering a complementary overview of the status of and trends in blockchain modelling, including the most prolific authors and leading contributing countries to the topic. The main outcome and contribution of the paper is the provision of a broad overview on how blockchain issues have been analytically tackled, through the synthesis and meta-analysis of the models used in the scientific literature since the inception of blockchain technology. The results have two main direct applications, firstly supporting novel vulnerability and performance analyses of existing blockchain applications by providing historical information on the models used so far, as well as the key parameters and typology of the blockchain-based applications evaluated. Secondly, in the implementation of new applications, by allowing the recognition of key issues identified that are associated with the different blockchain typologies and to determine the most suitable models to analyse the weaknesses and risks of the alternative designs under evaluation for these new implementations. © 2023 The Authors"
Du Q.; Li Q.; Liao G.; Li J.; Ye P.; Zhang Q.; Gong X.; Yang J.; Li K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177233425&doi=10.3389%2ffmicb.2023.1278438&partnerID=40&md5=dc8026e9ce66d24533577919126bf9df,Emerging trends and focus of research on the relationship between traumatic brain injury and gut microbiota: a visualized study,,0,0,,,0,0,0,1,2023,Frontiers in Microbiology,14,,1278438,,,,10.3389/fmicb.2023.1278438,"Background: Traumatic brain injury (TBI) is one of the most serious types of trauma and imposes a heavy social and economic burden on healthcare systems worldwide. The development of emerging biotechnologies is uncovering the relationship between TBI and gut flora, and gut flora as a potential intervention target is of increasing interest to researchers. Nevertheless, there is a paucity of research employing bibliometric methodologies to scrutinize the interrelation between these two. Therefore, this study visualized the relationship between TBI and gut flora based on bibliometric methods to reveal research trends and hotspots in the field. The ultimate objective is to catalyze progress in the preclinical and clinical evolution of strategies for treating and managing TBI. Methods: Terms related to TBI and gut microbiota were combined to search the Scopus database for relevant documents from inception to February 2023. Visual analysis was performed using CiteSpace and VOSviewer. Results: From September 1972 to February 2023, 2,957 documents published from 98 countries or regions were analyzed. The number of published studies on the relationship between TBI and gut flora has risen exponentially, with the United States, China, and the United Kingdom being representative of countries publishing in related fields. Research has formed strong collaborations around highly productive authors, but there is a relative lack of international cooperation. Research in this area is mainly published in high-impact journals in the field of neurology. The “intestinal microbiota and its metabolites,” “interventions,” “mechanism of action” and “other diseases associated with traumatic brain injury” are the most promising and valuable research sites. Targeting the gut flora to elucidate the mechanisms for the development of the course of TBI and to develop precisely targeted interventions and clinical management of TBI comorbidities are of great significant research direction and of interest to researchers. Conclusion: The findings suggest that close attention should be paid to the relationship between gut microbiota and TBI, especially the interaction, potential mechanisms, development of emerging interventions, and treatment of TBI comorbidities. Further investigation is needed to understand the causal relationship between gut flora and TBI and its specific mechanisms, especially the “brain-gut microbial axis.” Copyright © 2023 Du, Li, Liao, Li, Ye, Zhang, Gong, Yang and Li."
Soteres R.L.; Riquelme F.M.; Sagredo E.A.; Kaplan M.R.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145313064&doi=10.1016%2fj.jsames.2022.104173&partnerID=40&md5=0e7af52a8ee8bc24089150b7aff47a29,(Paleo)glacier studies in Patagonia over the past decades (1976–2020): A bibliometric perspective based on the Web of Science,,,0,0,,0,0,0,1,2023,Journal of South American Earth Sciences,122,,104173,,,,10.1016/j.jsames.2022.104173,"Patagonia features the most extensive glaciers of the Southern Hemisphere, excluding Antarctica, and a vast inventory of glacial landforms, so it is thought to have played a key role in (paleo)glacier studies since the late 19th century. However, no systematic attempts to characterize the specific research trends and the scientific community focused on Patagonian cryosphere have been conducted so far. To fill this gap, we analyzed the metadata associated to 305 articles compiled from the Web of Science database following a bibliometric approach covering the period between 1976 and 2020. Our results point to an irregular but net increase on the number of contributions on Patagonian (paleo)glaciers. Mass balance analyses based on satellite data of present-day glaciers and the reconstruction of past glacier activity by dating glacial landforms formed during the Last Glacial Termination, were the most addressed topics during the analyzed period. Patagonian (paleo)glacier studies are mostly published in generic Earth Sciences publications, followed by Quaternary and glaciological journals. Most of the studies were led by scientists from the United Kingdom, followed by Chile, Argentina and United States. In terms of collaborations, these studies can be divided into two main clusters, one composed by researchers from United States, Chile and Argentina institutions, and another mostly composed by British researchers. So far, the most prolific authors are nearly equally distributed in nationality, yet gender inclusion and international collaborations are still caveats that must be solved. Even though our query on the Web of Science missed highly influential (so-called) grey literature, such as local scientific journals and technical reports, the reviewed scientific literature unambiguously indicates that Patagonia is a privileged location for (paleo)glaciers studies worldwide and that it will continue offering vast opportunities to tackle critical questions related to global cryosphere and past-to-present climate changes. © 2022 Elsevier Ltd"
Osorio-Mancilla J.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163004819&doi=10.1007%2f978-3-031-28908-8_2&partnerID=40&md5=ff6810f80f4f373285c7c09658a844b5,A Bibliometric Analysis of Experimental Philosophy of Language,0,,,0,,0,0,0,1,2023,"Logic, Argumentation and Reasoning",33,,,13,29,16,10.1007/978-3-031-28908-8_2,"Since the implementation of experimental methods in philosophy, several philosophical disciplines are producing a fruitful body of research that has recently gained more recognition. Experimental Philosophy of Language (EPL) is one of the research topics that has drawn a great deal of attention lately. This chapter performs a bibliometric analysis of the EPL field in order to show the research trends, collaboration networks and topics structure that can be found in the literature. Techniques such as citation analysis, co-word occurrence analysis and clustering procedures are applied to identify significant research themes and publications from academic books and peer-reviewed research articles. This study uses quantitative analysis to explore the diverse practices of scholars working in the disciplinary community of EPL. The goal is to discover community-pattern trends within the field and investigate how they changed during the last years, as well as to provide information about the most-cited journals and academic editorial publication record. This analysis allows us to observe the research topics structure within the field, the most prolific authors and works and the collaboration degree among countries. This chapter aims to provide a comprehensive overview of EPL for those interested in one of the most prolific, empirically-driven trend in contemporary philosophy. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG."
Yang Q.; Du T.; Li N.; Liang J.; Javed T.; Wang H.; Guo J.; Liu Y.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152422636&doi=10.3390%2fagronomy13030920&partnerID=40&md5=c594325391724f442750fa2ebfec534c,Bibliometric Analysis on the Impact of Climate Change on Crop Pest and Disease,,0,0,,,0,0,0,1,2023,Agronomy,13,3,920,,,,10.3390/agronomy13030920,"Affected by global warming, the frequency of crop pests and diseases have increased, causing huge losses to agricultural production. To better grasp the development and trends of research on the effects of climate change on crop pests and diseases, the literature on the impact of climate change on crop pests and diseases published from 1990 to 2021 in the Web of Science (WOS) core collection database was used. This study explores the literature characteristics and hotspot evolution through the bibliometric visualization analysis software COOC, VOSviewer, and CiteSpace, with a view to identifying the changing characteristics and trends of research changes in this field. The results showed that the number of literature on the impact of climate change on crop pests and diseases increased rapidly. The main fields involved include environmental sciences, ecology, and agronomy. Papers in these fields mainly published in journals, such as PLos One, Forest Ecology and Management, and Frontiers in Plant Science. The country with the highest number of publications was the United States, followed by China and Australia. The most prolific authors in the top 20 are research scholars from China. The first author of the top 20 highly cited papers was from the United States. It was found that that current research on the impact of climate change on crop pests and diseases mainly focuses on agricultural production and food safety. Modelling and crop growth has maintained steady development. At present, research in this field mainly focuses on pest management strategies under the impact of climate change, the response of single species, and the complex ecological mechanisms behind the response. This study provides unique insights into the research field of the impact of climate change on crop pests and diseases and provides a reference direction for future research development in this field. © 2023 by the authors."
Qian C.; Lobo Marques J.A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180414542&doi=10.1145%2f3616712.3616717&partnerID=40&md5=a4714be10d0d43ad535d3e5b61b29545,Facial expression for marketing and consumer behavior: A Bibliometric analysis from 2013-2023 using Data Visualization Tools,,,0,0,,0,0,0,1,2023,ACM International Conference Proceeding Series,,,,270,275,5,10.1145/3616712.3616717,"The classification of emotions based on facial expressions have been a new topic of research in recent years, especially in marketing and consumer behavior areas. However, there is lack of studies to understand how the research topic is developed in terms of bibliometric data. Therefore, the purpose of this work is to provide a bibliometric analysis of the research on the analysis of facial expressions for marketing and consumer behavior, identifying the state of the art, the latest research direction, and other indicators. We extracted data from Web of Science (WOS) platform, considering its core database, resulting in a total of 117 articles. The software Vosviewer was used to analyze the data and graphically visualize the results. This study indicates some of the most influential authors citations and coupling analysis in this specific field, identifies journals with the most published articles, and provide trends of the research area based on the analysis of keywords and corresponding number of articles per year. The results shows that 11 articles (9.4%) were cited more than 100 times, and the two most prolific authors published 5 articles, and the two most influential authors are Bouaziz Sofien and Pauly mark(270 citations) in this field. Of the 117 articles retrieved by WOS, more than 70% were published in high impact journals. The bibliometric analysis of the existing work in this study provides a valuable and reliable reference for researchers in this field and makes a reasonable prediction of the research direction trends.  © 2023 ACM."
Fresno-Alba S.; Denche-Zamorano Á.; Pastor-Cisneros R.; Pereira-Payo D.; Franco-García J.M.; Jiménez-Castuera R.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147114858&doi=10.3389%2ffonc.2022.1051482&partnerID=40&md5=51206bf11baf1fd421d09ce466c91dbf,Breast cancer and physical activity: A bibliometric analysis,0,,,0,,0,0,0,1,2023,Frontiers in Oncology,12,,1051482,,,,10.3389/fonc.2022.1051482,"Breast cancer is a pathology suffered by millions of women worldwide, affecting the mental health, quality of life (QoL), physical functioning, cognitive functioning, and social and work life of surviving patients. Moreover, breast cancer is associated with weight gain, muscle atrophy, and weakness. Physical exercise appears to be an effective non-pharmacological treatment to improve short-term self-esteem, QoL, fatigue, and psychological factors such as depression, anxiety, happiness, and body image. The practice of physical activity is also associated with a reduction in the side effects of treatment. This bibliometric analysis analyzed the trend followed by publications on breast cancer and physical activity. The Web of Science database was used, and bibliometric laws were applied to identify the most prolific authors, the journals most involved in the field, and the countries, institutions, and keywords most used by the authors. Breast cancer and physical activity have an exponential trend in the number of publications, with Psycho-Oncology being the journal with the highest number of publications. Copyright © 2023 Fresno-Alba, Denche-Zamorano, Pastor-Cisneros, Pereira-Payo, Franco-García and Jiménez-Castuera."
Wang Y.; Li B.; Tong F.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146840519&doi=10.3389%2ffimmu.2022.1036461&partnerID=40&md5=36f4f12a4b4509732abdefb0533ec5f9,Global trends in research of immune cells associated with hypertensive disorders of pregnancy: A 20-year bibliometric analyses (from 2001 to 2021),,0,0,,,0,0,0,1,2023,Frontiers in Immunology,13,,1036461,,,,10.3389/fimmu.2022.1036461,"Background: A growing evidence suggests that immune cells play a significant role in the pathogenesis of hypertensive disorders of pregnancy (HDP).Over the past 20 years, several studies have been conducted on the role of immune cells in hypertensive disorders of pregnancy. This study used bibliometric analysis to assess research hotspots and future trends in studies on immune cells in hypertensive disorders of pregnancy. Methods: We extracted all relevant literature on immune cells and hypertensive disorders of pregnancy from the Web of Science core collection for the period of 2001 to 2021. We used VOS Viewer, CiteSpace, R-bibliometrix and Python for bibliometric analysis. Results: We identified 2,388 records published in 593 journals by 9,886 authors from 2,174 universities/institutions in 91 countries/regions. The number of publications tended to increase over time, with the highest number of publications in 2021, up to 205. The USA was the country with the most publications. UNIVERSITY OF MISSISSIPPI was the most influential institution. Lamarca B, Romero R, and Saito S were the most prolific authors. Finally, three research hotspot clusters were identified based on keywords, which reflected the role of immune cells in the development of hypertensive disorders of pregnancy, the current research status,and predicted hot spots for future research. Conclusions: Our study systematically analyzed the role of immune cells in the pathogenesis of hypertensive disorders of pregnancy in the last 20 years. Our results indicated that immune cells, such as T cells, natural killer (NK) cells,and macrophages, and the cytokines released such as TNF-α, IFN-γ in the maternal circulation and at the maternal-fetal interface would influence the development of hypertensive disorders of pregnancy and we need further investigate the role of individual immune cells and translational studies to provide new therapeutic perspectives to mitigate adverse perinatal outcomes due to hypertensive disorders of pregnancy. In conclusion, bibliometric studies provide a general overview of immune cells in the study of hypertensive disorders of pregnancy. Copyright © 2023 Wang, Li and Tong."
Samanta S.; Rautaray B.; Swain D.K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129851487&doi=10.1108%2fIJIS-06-2021-0103&partnerID=40&md5=fba79cd5189ffe67420f3821a5759666,Intellectual structure and pattern of publication in the International Journal of Innovation Science: a bibliometric study,,,0,0,,0,0,0,1,2023,International Journal of Innovation Science,15,2,,279,301,22,10.1108/IJIS-06-2021-0103,"Purpose: This study aims to sketch a bibliometric portrait of the International Journal of Innovation Science (IJIS) and attempts to evaluate its publication patterns from 2011 to 2020 by unfolding the key aspects of its publication trends for the audience of the journal and scholars of bibliometric studies as well. Design/methodology/approach: This study analyzes papers published in the IJIS from 2011 to 2020 by using the required bibliometric measures to analyze the key aspects of the publishing trends of IJIS. Findings: This study finds that a total of 487 authors published 271 articles in IJIS during 2011–2020. The USA leads the table with 89 papers followed by India (29 papers) and China (26 papers). The degree of collaboration in IJIS ranged from 0.36 to 0.94. Moreover, this study finds that the keyword “design/methodology/approach” is the central theme of research in IJIS around which all other keywords revolve. Research limitations/implications: This study focuses on the publication patterns of the IJIS over a period of ten years. Patterns of research output in 271 publications are comprehended and analyzed. For making a ten-year bibliometric study, the papers published before 2011 were excluded from the purview of research. Practical implications: Readers of the IJIS, teachers and research scholars interested in bibliometric studies can benefit from insights into the scholarly papers published in IJIS from 2011 to 2020. Originality/value: This study would provide the readers of IJIS to ascertain significant contributions, top cited papers, the most prolific authors, geographical distribution of papers, keyword co-occurrence and bibliographic coupling. © 2022, Emerald Publishing Limited."
